League;Stat;Next Match;Odds;Date;Situacao;Tipo_Estatistica;Liga_Categoria;Probabilidade_Sucesso;Previsao;Padrao;Recomendacao;Analise_Detalhada
Finnish Veikkausliiga;HJK have had BTTS in their last 9 home league matches;HJK HAVE HAD BTTS vs sjk;1.4;22/10/2025 13:00;VERDADEIRO;BTTS;BAIXA_CONFIABILIDADE;0.6371877705627707;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: BTTS em 9 jogos (Odds: 1.4) [BONUS +10%] Previsao: MANTERA STREAK
Norwegian 1. Division;Lillestrøm have had Over 2.5 Match Goalsin their last 9 league matches;LILLESTRØM vs odd grenland bk;1.53;22/10/2025 13:00;VERDADEIRO;OVER_2.5;BAIXA_CONFIABILIDADE;0.5950627705627706;FALSO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: OVER_2.5 em 9 jogos (Odds: 1.53) [BONUS +10%] Previsao: INTERROMPERA STREAK
Norwegian 1. Division;Mjøndalen IF have had Over 2.5 Match Goalsin their last 7 away league matches;MJØNDALEN IF vs ranheim;1.48;22/10/2025 13:00;VERDADEIRO;OVER_2.5;BAIXA_CONFIABILIDADE;0.47255051260883874;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 7 jogos (Odds: 1.48) [BONUS +10%] Previsao: INTERROMPERA STREAK
Turkish Super Lig;Konyaspor have had BTTS in their last 6 league matches;KONYASPOR HAVE HAD BTTS vs besiktas;1.62;22/10/2025 14:00;FALSO;BTTS;BAIXA_CONFIABILIDADE;0.410359341313149;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 6 jogos (Odds: 1.62) [BONUS +10%] Previsao: INTERROMPERA STREAK
Serie A;Internacional RS have had BTTS in their last 6 away league matches;INTERNACIONAL RS vs ec bahia;1.95;22/10/2025 19:00;FALSO;BTTS;BAIXA_CONFIABILIDADE;0.43907672164436873;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 6 jogos (Odds: 1.95) [BONUS +10%] Previsao: INTERROMPERA STREAK
US MLS;Orlando City SC have had BTTS in their last 8 away league matches;ORLANDO CITY SC vs chicago fire;1.5;22/10/2025 21:30;VERDADEIRO;BTTS;BAIXA_CONFIABILIDADE;0.5812746406195773;FALSO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: BTTS em 8 jogos (Odds: 1.5) [BONUS +10%] Previsao: INTERROMPERA STREAK
US MLS;Orlando City SC have had BTTS in their last 16 league matches;ORLANDO CITY SC vs chicago fire;1.5;22/10/2025 21:30;VERDADEIRO;BTTS;BAIXA_CONFIABILIDADE;0.5782876984126984;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 16 jogos (Odds: 1.5) [BONUS +10%] Previsao: INTERROMPERA STREAK
Liga MX;Atlas have had Over 2.5 Match Goalsin their last 6 home league matches;ATLAS vs leon;1.67;23/10/2025 00:00;FALSO;OVER_2.5;BAIXA_CONFIABILIDADE;0.7785432320228165;VERDADEIRO;PADRAO_FORTE;EXCELENTE;PADRAO_FORTE: OVER_2.5 em 6 jogos (Odds: 1.67) [BONUS +10%] Previsao: MANTERA STREAK
Liga MX;Toluca have had Over 2.5 Match Goalsin their last 7 league matches;TOLUCA vs tijuana;1.5;23/10/2025 00:00;FALSO;OVER_2.5;BAIXA_CONFIABILIDADE;0.5182749973304247;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 7 jogos (Odds: 1.5) [BONUS +10%] Previsao: INTERROMPERA STREAK
Liga MX;Toluca have Won their last 7 league matches;TOLUCA vs tijuana;1.86;23/10/2025 00:00;FALSO;VITORIA;BAIXA_CONFIABILIDADE;0.34714880952380955;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: VITORIA em 7 jogos (Odds: 1.86) [BONUS +10%] Previsao: INTERROMPERA STREAK
Liga MX;Pumas UNAM have had BTTS in their last 6 league matches;PUMAS UNAM vs atlético san luis;1.67;23/10/2025 00:05;FALSO;BTTS;BAIXA_CONFIABILIDADE;0.3080732607270684;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 6 jogos (Odds: 1.67) [BONUS +10%] Previsao: INTERROMPERA STREAK
First Division;HB Køge have had Over 2.5 Match Goalsin their last 6 away league matches;HB KØGE vs hvidovre;1.62;23/10/2025 13:30;;OVER_2.5;BAIXA_CONFIABILIDADE;0.656658630909644;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: OVER_2.5 em 6 jogos (Odds: 1.62) [BONUS +10%] Previsao: MANTERA STREAK
