League;Stat;Next Match;Odds;Date;Situacao;Tipo_Estatistica;Liga_Categoria;Probabilidade_Sucesso;Previsao;Padrao;
Iceland Besta Deildin;Afturelding have had BTTS in their last 15 league matches;Home vs Vestri;1.53;19/10/2025 11:00;;
La Liga;Celta have had BTTS in their last 7 league matches;Home vs Sociedad;1.75;19/10/2025 11:15;;
Finnish Veikkausliiga;KuPS Kuopio have had Over 2.5 Match Goalsin their last 7 home league matches;Home vs HJK;1.67;19/10/2025 12:30;;
Ekstraklasa;Zaglebie Lubin have had Over 2.5 Match Goalsin their last 7 league matches;Home vs Legia Warsaw;1.75;19/10/2025 12:30;;
Chile Primera Division;Coquimbo Unido have Won their last 11 league matches;Home vs Colo-Colo;2.30;19/10/2025 12:30;;
Primera Division Women;Barcelona W have Won their last 7 league matches;Home vs Granada W;;19/10/2025 13:00;;
Fortuna Liga;Žilina have had Over 2.5 Match Goalsin their last 8 league matches;Away vs Dunajská Streda;1.50;19/10/2025 13:00;;
Segunda Division;Santander have had Over 2.5 Match Goalsin their last 9 league matches;Home vs La Coruna;1.65;19/10/2025 13:30;;
Norwegian Eliteserien;Strømsgodset IF have had BTTS in their last 6 league matches;Home vs Fredrikstad;1.57;19/10/2025 14:15;;
Super Liga;Crvena Zvezda have Won their last 9 league matches;Home vs IMT Novi Beograd;1.07;19/10/2025 14:30;;
Super Liga;Crvena Zvezda have had Over 2.5 Match Goalsin their last 6 league matches;Home vs IMT Novi Beograd;1.20;19/10/2025 14:30;;
3. Liga;Havelse have had BTTS in their last 6 league matches;Home vs Regensburg;1.53;19/10/2025 14:30;;
Iceland Besta Deildin;Valur have had BTTS in their last 8 home league matches;Home vs FH;1.44;19/10/2025 16:15;;
Segunda Division;UCV Moquegua have had BTTS in their last 8 away league matches;Away vs Unión Comercio;;19/10/2025 17:15;;
Primera B;Concepcion have had Over 2.5 Match Goalsin their last 7 league matches;Home vs San Luis;2.10;19/10/2025 17:30;;
USL Championship;Oakland Roots have had BTTS in their last 6 league matches;Away vs New Mexico United;1.72;19/10/2025 18:00;;
USL Championship;Oakland Roots have had BTTS in their last 6 away league matches;Away vs New Mexico United;1.72;19/10/2025 18:00;;
USL Championship;Oakland Roots have had Over 2.5 Match Goalsin their last 6 away league matches;Away vs New Mexico United;1.72;19/10/2025 18:00;;
Primera Division;Peñarol have Won their last 11 home league matches;Home vs Wanderers;1.29;19/10/2025 18:30;;
Liga Pro;Universidad Católica have had BTTS in their last 6 away league matches;Away vs Libertad;1.67;19/10/2025 20:00;;
