Date;Stat;League;Next Match;Odds;Resultado;Situação
Sunday, 19 October 09:30;Bodø / Glimt W have Lost their last 6 home league matches;Toppserien;Home vs Rosenborg W;;;
Sunday, 19 October 09:00;Odense BK have had BTTS in their last 8 league matches;Superliga;Away vs Viborg FF;1.53;;
Sunday, 19 October 09:00;Brommapojkarna W have had BTTS in their last 10 league matches;Allsvenskan Women;Home vs Häcken W;;;
Sunday, 19 October 09:00;Häcken W have Won their last 8 away league matches;Allsvenskan Women;Away vs Brommapojkarna W;;;
Sunday, 19 October 09:00;Brommapojkarna W have had BTTS in their last 11 home league matches;Allsvenskan Women;Home vs Häcken W;;;
Sunday, 19 October 09:00;Brommapojkarna W have Lost their last 6 home league matches;Allsvenskan Women;Home vs Häcken W;;;
Sunday, 19 October 09:00;Brommapojkarna W have had Over 2.5 Match Goalsin their last 10 league matches;Allsvenskan Women;Home vs Häcken W;;;
Sunday, 19 October 09:00;Brommapojkarna W have had Over 2.5 Match Goalsin their last 11 home league matches;Allsvenskan Women;Home vs Häcken W;;;
Sunday, 19 October 08:30;Harju Jalgpallikool have had Over 2.5 Match Goalsin their last 9 league matches;Meistriliiga;Home vs Nõmme Kalju;1.44;;
Sunday, 19 October 08:30;Magdeburg have Lost their last 6 league matches;Bundesliga 2;Away vs Darmstadt;1.80;;
Sunday, 19 October 08:30;Ulm have had BTTS in their last 8 league matches;3. Liga;Home vs Energie Cottbus;1.50;;
Sunday, 19 October 08:30;Energie Cottbus have had Over 2.5 Match Goalsin their last 6 league matches;3. Liga;Away vs Ulm;1.57;;
Sunday, 19 October 08:00;Trelleborg have had Over 2.5 Match Goalsin their last 7 away league matches;Swedish Superettan;Away vs Utsikten;1.85;;
Sunday, 19 October 04:30;Wuhan Three Towns have had Over 2.5 Match Goalsin their last 8 away league matches;Super League;Away vs Dalian Yingbo;1.44;;
Sunday, 19 October 04:30;Wuhan Three Towns have Lost their last 6 away league matches;Super League;Away vs Dalian Yingbo;1.76;;
Sunday, 19 October 03:00;Shonan Bellmare have Lost their last 7 league matches;J League;Home vs Kyoto Sanga;1.79;;
Sunday, 19 October 00:55;Consadole Sapporo have had BTTS in their last 8 away league matches;J League 2;Away vs Kataller Toyama;1.73;;
Saturday, 18 October 22:00;LA Galaxy have had BTTS in their last 6 league matches;US MLS;Home vs Minnesota United;1.44;;
Saturday, 18 October 22:00;Jaiba Brava have had BTTS in their last 7 league matches;Liga de Expansión MX;Home vs CA La Paz;;;
Saturday, 18 October 22:00;LA Galaxy have had Over 2.5 Match Goalsin their last 8 home league matches;US MLS;Home vs Minnesota United;1.50;;
Saturday, 18 October 22:00;Minnesota United have had BTTS in their last 8 away league matches;US MLS;Away vs LA Galaxy;1.44;;
Saturday, 18 October 22:00;SJ Earthquakes have had BTTS in their last 14 home league matches;US MLS;Home vs Austin;;;
Saturday, 18 October 20:30;Kansas City Current W have Won their last 8 away league matches;US NWSL;Away vs Houston Dash W;;;
Saturday, 18 October 20:30;Hartford Athletic have Won their last 6 away league matches;USL Championship;Away vs Tampa Bay Rowdies;2.90;;
Saturday, 18 October 20:30;Tampa Bay Rowdies have had Over 2.5 Match Goalsin their last 6 league matches;USL Championship;Home vs Hartford Athletic;1.80;;
Saturday, 18 October 20:00;Toluca have had Over 2.5 Match Goalsin their last 6 league matches;Liga MX;Home vs Querétaro;1.36;;
Saturday, 18 October 20:00;Patriotas Boyacá have Won their last 6 league matches;Colombia Primera B;Home vs Jaguares de Córdoba;2.25;;
Saturday, 18 October 20:00;Toluca have Won their last 6 league matches;Liga MX;Home vs Querétaro;1.17;;
Saturday, 18 October 20:00;Toluca have had BTTS in their last 6 home league matches;Liga MX;Home vs Querétaro;1.80;;
Saturday, 18 October 20:00;Jaguares de Córdoba have Won their last 10 league matches;Colombia Primera B;Away vs Patriotas Boyacá;3.40;;
Saturday, 18 October 19:00;Orlando City SC have had BTTS in their last 15 league matches;US MLS;Away vs Toronto;1.53;;
Saturday, 18 October 19:00;Orlando City SC have had BTTS in their last 7 away league matches;US MLS;Away vs Toronto;1.53;;
Saturday, 18 October 19:00;CF Montréal have had BTTS in their last 7 away league matches;US MLS;Away vs Cincinnati;1.53;;
Saturday, 18 October 16:00;Leones FC have Lost their last 8 league matches;Colombia Primera B;Home vs Atlético;2.60;;
Saturday, 18 October 15:30;Zürich have had Over 2.5 Match Goalsin their last 6 league matches;Swiss Super League;Away vs FC Lugano;1.62;;
Saturday, 18 October 15:30;VfL Bochum 1848 have Lost their last 6 league matches;Bundesliga 2;Home vs Hertha;2.90;;
Saturday, 18 October 15:15;Celje have had Over 2.5 Match Goalsin their last 9 league matches;1. SNL;Home vs Olimpija;1.60;;
Saturday, 18 October 15:00;Los Chankas have had BTTS in their last 11 home league matches;Primera Division;Home vs ADC Juan Pablo II;1.83;;
Saturday, 18 October 14:30;Polonia Warszawa have had BTTS in their last 6 away league matches;1. Liga;Away vs Chrobry Głogów;1.62;;
Saturday, 18 October 14:30;Tychy 71 have Lost their last 6 league matches;1. Liga;Home vs Wieczysta Kraków;2.00;;
Saturday, 18 October 14:30;Cesena have had BTTS in their last 7 league matches;Serie B;Away vs Spezia;2.00;;
Saturday, 18 October 14:30;Polonia Warszawa have had BTTS in their last 7 league matches;1. Liga;Away vs Chrobry Głogów;1.62;;
Saturday, 18 October 14:00;Ismaily have Lost their last 6 league matches;Egypt Premier League;Home vs Haras El Hodood;3.10;;
Saturday, 18 October 13:30;Peterhead have had Over 2.5 Match Goalsin their last 7 league matches;Scottish League 1;Home vs Queen of Sth;1.80;;
Saturday, 18 October 13:30;Sutton have had BTTS in their last 6 home league matches;National League;Home vs Hartlepool;1.57;;
Saturday, 18 October 13:30;Peterhead have had BTTS in their last 6 league matches;Scottish League 1;Home vs Queen of Sth;1.67;;
Saturday, 18 October 13:30;FC Bayern München have had Over 2.5 Match Goalsin their last 6 league matches;Bundesliga;Home vs Dortmund;1.33;;
Saturday, 18 October 13:30;FC Bayern München have Won their last 6 league matches;Bundesliga;Home vs Dortmund;1.33;;
Saturday, 18 October 13:00;Flora have had Over 2.5 Match Goalsin their last 9 league matches;Meistriliiga;Home vs Tallinna Kalev;1.25;;
Saturday, 18 October 13:00;Tallinna Kalev have Lost their last 8 league matches;Meistriliiga;Away vs Flora;1.10;;
Saturday, 18 October 13:00;Winterthur have had Over 2.5 Match Goalsin their last 6 league matches;Swiss Super League;Away vs Basel;1.30;;
Saturday, 18 October 12:30;IK Sirius have had Over 2.5 Match Goalsin their last 7 league matches;Swedish Allsvenskan;Away vs BK Hacken;1.40;;
Saturday, 18 October 12:00;Falkenbergs FF have had Over 2.5 Match Goalsin their last 7 league matches;Swedish Superettan;Home vs Örgryte;1.57;;
Saturday, 18 October 11:30;TOP Oss have had BTTS in their last 6 league matches;Eerste Divisie;Away vs Graafschap;1.57;;
Saturday, 18 October 11:00;Kongsvinger have had BTTS in their last 8 away league matches;Norwegian 1. Division;Away vs Moss;1.50;;
Saturday, 18 October 11:00;Raufoss have had Over 2.5 Match Goalsin their last 9 away league matches;Norwegian 1. Division;Away vs Egersund;1.57;;
Saturday, 18 October 11:00;Moss have had Over 2.5 Match Goalsin their last 9 home league matches;Norwegian 1. Division;Home vs Kongsvinger;1.44;;
Saturday, 18 October 11:00;Dumbarton have had BTTS in their last 9 league matches;Scottish League 2;Home vs Spartans;1.62;;
Saturday, 18 October 11:00;Alingsås W have Lost their last 8 league matches;Allsvenskan Women;Home vs Växjö W;;;
Saturday, 18 October 11:00;Glenavon have Lost their last 11 league matches;Northern Ireland Premiership;Home vs Carrick Rangers;2.20;;
Saturday, 18 October 11:00;Jaro have had BTTS in their last 6 league matches;Finnish Veikkausliiga;Away vs VPS;1.50;;
Saturday, 18 October 11:00;Mariehamn have had BTTS in their last 6 league matches;Finnish Veikkausliiga;Home vs Oulu;1.57;;
Saturday, 18 October 11:00;Haka have Lost their last 6 home league matches;Finnish Veikkausliiga;Home vs KTP;2.60;;
Saturday, 18 October 11:00;Gateshead have had Over 2.5 Match Goalsin their last 6 away league matches;National League;Away vs Brackley Town;1.73;;
Saturday, 18 October 11:00;Jaro have had Over 2.5 Match Goalsin their last 8 league matches;Finnish Veikkausliiga;Away vs VPS;1.60;;
Saturday, 18 October 11:00;Sogndal have had BTTS in their last 8 home league matches;Norwegian 1. Division;Home vs IK Start;1.50;;
Saturday, 18 October 11:00;Coleraine have had Over 2.5 Match Goalsin their last 7 league matches;Northern Ireland Premiership;Home vs Dungannon Swifts;1.65;;
Saturday, 18 October 11:00;Dinamo Minsk have had BTTS in their last 7 league matches;Vysshaya Liga;Home vs Gomel;;;
Saturday, 18 October 11:00;Moss have had BTTS in their last 7 home league matches;Norwegian 1. Division;Home vs Kongsvinger;1.50;;
Saturday, 18 October 11:00;Dinamo Minsk have had Over 2.5 Match Goalsin their last 8 league matches;Vysshaya Liga;Home vs Gomel;;;
Saturday, 18 October 10:30;Slaven Koprivnica have had BTTS in their last 6 league matches;1. HNL;Home vs Rijeka;1.83;;
Saturday, 18 October 10:30;Augsburg have had BTTS in their last 6 league matches;Bundesliga;Away vs FC Köln;1.53;;
Saturday, 18 October 10:30;Augsburg have had Over 2.5 Match Goalsin their last 6 league matches;Bundesliga;Away vs FC Köln;1.57;;
Saturday, 18 October 10:30;Slaven Koprivnica have had Over 2.5 Match Goalsin their last 8 league matches;1. HNL;Home vs Rijeka;2.08;;
Saturday, 18 October 10:00;Kalmar FF have Won their last 6 home league matches;Swedish Superettan;Home vs Oddevold;1.48;;
Saturday, 18 October 10:00;Adana Demirspor have had Over 2.5 Match Goalsin their last 9 league matches;1. Lig;Home vs Sakaryaspor;;;
Saturday, 18 October 10:00;Varbergs BoIS have had BTTS in their last 8 league matches;Swedish Superettan;Home vs Sandviken;1.62;;
Saturday, 18 October 10:00;Karviná have had BTTS in their last 8 league matches;Czech Liga;Home vs Sigma Olomouc;1.62;;
Saturday, 18 October 10:00;Karviná have had Over 2.5 Match Goalsin their last 8 league matches;Czech Liga;Home vs Sigma Olomouc;1.85;;
Saturday, 18 October 10:00;Adana Demirspor have Lost their last 8 league matches;1. Lig;Home vs Sakaryaspor;;;
Saturday, 18 October 09:30;ACV have Lost their last 8 league matches;Tweede Divisie;Home vs Rijnsburgse Boys;;;
Saturday, 18 October 09:30;Dynamo Kyiv have had BTTS in their last 7 league matches;Premier League;Away vs Zorya Luhansk;;;
Saturday, 18 October 09:00;Hoffenheim II have had BTTS in their last 6 league matches;3. Liga;Away vs Osnabruck;1.62;;
Saturday, 18 October 09:00;Yunnan Yukun have had BTTS in their last 7 home league matches;Super League;Home vs Tianjin Jinmen Tiger;1.53;;
Saturday, 18 October 09:00;KäPa have had BTTS in their last 6 league matches;Finnish Ykkosliiga;Home vs SalPa;1.36;;
Saturday, 18 October 09:00;Schweinfurt have had Over 2.5 Match Goalsin their last 6 league matches;3. Liga;Away vs Stuttgart II;1.60;;
Saturday, 18 October 09:00;Yunnan Yukun have had BTTS in their last 12 league matches;Super League;Home vs Tianjin Jinmen Tiger;1.53;;
Saturday, 18 October 08:30;Levadia have had Over 2.5 Match Goalsin their last 6 away league matches;Meistriliiga;Away vs Kuressaare;1.36;;
Saturday, 18 October 08:30;Levadia have had Over 2.5 Match Goalsin their last 9 league matches;Meistriliiga;Away vs Kuressaare;1.36;;
Saturday, 18 October 08:00;Västerås SK have Won their last 7 home league matches;Swedish Superettan;Home vs GIF Sundsvall;1.33;;
Saturday, 18 October 08:00;Chongqing Tongliang Long have had Over 2.5 Match Goalsin their last 7 away league matches;League One;Away vs Dalian Huayi;1.85;;
Saturday, 18 October 08:00;Preußen Münster have had BTTS in their last 8 league matches;Bundesliga 2;Home vs Dresden;1.57;;
Saturday, 18 October 08:00;Preußen Münster have had Over 2.5 Match Goalsin their last 6 league matches;Bundesliga 2;Home vs Dresden;1.67;;
Saturday, 18 October 02:00;Suwon have had Over 2.5 Match Goalsin their last 7 away league matches;K League 1;Away vs Jeonbuk Motors;1.57;;
Saturday, 18 October 02:00;Cerezo Osaka have had BTTS in their last 7 league matches;J League;Away vs Fagiano Okayama;1.67;;
Saturday, 18 October 02:00;Albirex Niigata have Lost their last 9 away league matches;J League;Away vs Tokyo Verdy;2.15;;
Saturday, 18 October 02:00;Suwon have had BTTS in their last 9 away league matches;K League 1;Away vs Jeonbuk Motors;1.57;;
Saturday, 18 October 02:00;Daegu have had BTTS in their last 6 league matches;K League 1;Home vs Gangwon;1.67;;
Saturday, 18 October 02:00;Cerezo Osaka have had Over 2.5 Match Goalsin their last 6 away league matches;J League;Away vs Fagiano Okayama;1.85;;
Saturday, 18 October 02:00;Sagan Tosu have had BTTS in their last 7 league matches;J League 2;Home vs Blaublitz Akita;1.91;;
Friday, 17 October 22:00;Correcaminos UAT have had BTTS in their last 6 league matches;Liga de Expansión MX;Home vs Dorados;;;
Friday, 17 October 22:00;Correcaminos UAT have had Over 2.5 Match Goalsin their last 6 league matches;Liga de Expansión MX;Home vs Dorados;1.61;;
Friday, 17 October 21:00;Independiente Petrolero have had Over 2.5 Match Goalsin their last 8 league matches;Bolivia Primera Division;Away vs The Strongest;1.33;;
Friday, 17 October 21:00;The Strongest have Won their last 10 home league matches;Bolivia Primera Division;Home vs Independiente Petrolero;1.25;;
Friday, 17 October 20:00;Independiente Medellín have had Over 2.5 Match Goalsin their last 8 league matches;Colombia Primera A;Home vs Fortaleza CEIF;2.00;;
Friday, 17 October 20:00;Independiente Medellín have had BTTS in their last 8 league matches;Colombia Primera A;Home vs Fortaleza CEIF;2.00;;
Friday, 17 October 15:00;Den Haag have Won their last 7 league matches;Eerste Divisie;Home vs FC Dordrecht;1.22;;
Friday, 17 October 15:00;Almere City have had Over 2.5 Match Goalsin their last 7 league matches;Eerste Divisie;Home vs SC Cambuur;1.48;;
Friday, 17 October 15:00;SK Beveren have Won their last 9 league matches;First Division B;Away vs K. Beerschot V.A.;2.63;;
Friday, 17 October 14:00;Lillestrøm have had Over 2.5 Match Goalsin their last 6 home league matches;Norwegian 1. Division;Home vs Lyn;1.50;;
Friday, 17 October 14:00;Lillestrøm have Won their last 6 home league matches;Norwegian 1. Division;Home vs Lyn;1.40;;
Friday, 17 October 14:00;Aalborg BK have had Over 2.5 Match Goalsin their last 6 league matches;First Division;Away vs B 93;1.50;;
Friday, 17 October 14:00;Linkoping W have had Over 2.5 Match Goalsin their last 8 home league matches;Allsvenskan Women;Home vs AIK W;1.66;;
Friday, 17 October 14:00;Linkoping W have had Over 2.5 Match Goalsin their last 8 league matches;Allsvenskan Women;Home vs AIK W;1.66;;
Friday, 17 October 14:00;Lillestrøm have had Over 2.5 Match Goalsin their last 8 league matches;Norwegian 1. Division;Home vs Lyn;1.50;;
Friday, 17 October 14:00;FC København have had BTTS in their last 8 league matches;Superliga;Away vs Silkeborg IF;1.75;;
Friday, 17 October 14:00;Lyn have Won their last 7 away league matches;Norwegian 1. Division;Away vs Lillestrøm;7.00;;
Friday, 17 October 14:00;Lillestrøm have Won their last 12 league matches;Norwegian 1. Division;Home vs Lyn;1.40;;
Friday, 17 October 13:30;Hannover have had Over 2.5 Match Goalsin their last 6 league matches;Bundesliga 2;Home vs Schalke 04;1.65;;
Friday, 17 October 07:00;Shanghai Port have had Over 2.5 Match Goalsin their last 8 away league matches;Super League;Away vs Qingdao Hainiu;1.40;;
Friday, 17 October 07:00;Shanghai Port have had BTTS in their last 8 away league matches;Super League;Away vs Qingdao Hainiu;1.53;;
Friday, 17 October 07:00;Shanghai Port have had BTTS in their last 11 league matches;Super League;Away vs Qingdao Hainiu;1.53;;
