League;Stat;Next Match;Odds;Date;adam choi_dados_20251005_000421.csv;Situacao;Target;Tipo_Estatistica;Tamanho_Streak;Local_Jogo;Time;Liga_Categoria;Probabilidade_Sucesso;Previsao_Modelo;Padrao_Identificado;Recomendacao;Analise_Detalhada;Bonus_Total;Tipo_Analise
Liga 1;CFR Cluj have had BTTS in their last 7 league matches;Home vs Hermannstadt;2.0;2025-10-05 09:00:00;02/jan;VERDADEIRO;1.0;BTTS;7;CASA;CFR Cluj;BAIXA_CONFIABILIDADE;0.6333333333333333;VERDADEIRO;PADRAO_SOLIDO;BOA;HISTORICO - PREVISAO - PADRAO SOLIDO: Estatistica BTTS por 7 jogos (Odds: 2.0). Previsao: MANTERA O STREAK. [JOGO FUTURO];0.0;ANALISE_HISTORICA
Allsvenskan Women;Linkoping W have had Over 2.5 Match Goalsin their last 6 league matches;Home vs Brommapojkarna W;;2025-10-05 09:00:00;;;-1.0;OVER_2.5;6;CASA;Linkoping W;ALTA_CONFIABILIDADE;0.88;VERDADEIRO;PADRAO_FORTE;EXCELENTE;PREVISAO - PADRAO_FORTE: OVER_2.5 em 6 jogos (Odds: N/D) [BONUS +23% complementar+confiabilidade] Previsao: MANTERA STREAK [SEM ODDS - ANALISE QUALITATIVA];0.22999999999999998;PREVISAO_QUALITATIVA
Allsvenskan Women;Linkoping W have had Over 2.5 Match Goalsin their last 7 home league matches;Home vs Brommapojkarna W;;2025-10-05 09:00:00;;;-1.0;OVER_2.5;7;CASA;Linkoping W;ALTA_CONFIABILIDADE;0.88;VERDADEIRO;PADRAO_FORTE;EXCELENTE;PREVISAO - PADRAO_FORTE: OVER_2.5 em 7 jogos (Odds: N/D) [BONUS +23% complementar+confiabilidade] Previsao: MANTERA STREAK [SEM ODDS - ANALISE QUALITATIVA];0.22999999999999998;PREVISAO_QUALITATIVA
Premier League;Dynamo Kyiv have had BTTS in their last 6 league matches;Home vs Metalist 1925 Kharkiv;1.8;2025-10-05 09:30:00;01/jan;VERDADEIRO;1.0;BTTS;6;CASA;Dynamo Kyiv;BAIXA_CONFIABILIDADE;0.6733333333333333;VERDADEIRO;PADRAO_SOLIDO;BOA;HISTORICO - PREVISAO - PADRAO SOLIDO: Estatistica BTTS por 6 jogos (Odds: 1.8). Previsao: MANTERA O STREAK. [JOGO FUTURO];0.0;ANALISE_HISTORICA
Premier League;Dynamo Kyiv have had Over 2.5 Match Goalsin their last 6 league matches;Home vs Metalist 1925 Kharkiv;1.8;2025-10-05 09:30:00;01/jan;FALSO;0.0;OVER_2.5;6;CASA;Dynamo Kyiv;BAIXA_CONFIABILIDADE;0.32;FALSO;PADRAO_REGULAR;REGULAR;HISTORICO - PREVISAO - PADRAO REGULAR: Over 2.5 goals em 6 jogos (Odds: 1.8). Previsao: STREAK SERA INTERROMPIDO. [JOGO FUTURO];0.0;ANALISE_HISTORICA
Swedish Superettan;Falkenbergs FF have had Over 2.5 Match Goalsin their last 6 league matches;Away vs Orebro SK;1.62;2025-10-05 10:00:00;;;-1.0;OVER_2.5;6;FORA;Falkenbergs FF;BAIXA_CONFIABILIDADE;0.2866666666666667;FALSO;PADRAO_REGULAR;REGULAR;PREVISAO - PREVISAO - PADRAO REGULAR: Over 2.5 goals em 6 jogos (Odds: 1.62). Previsao: STREAK SERA INTERROMPIDO. [JOGO FUTURO];0.0;PREVISAO_FUTURO
Allsvenskan Women;Pitea W have Lost their last 6 home league matches;Home vs Djurgarden W;;2025-10-05 10:00:00;;;-1.0;DERROTA;6;CASA;Pitea W;ALTA_CONFIABILIDADE;0.8799999999999999;VERDADEIRO;PADRAO_FORTE;EXCELENTE;PREVISAO - PADRAO_FORTE: DERROTA em 6 jogos (Odds: N/D) [BONUS +18% complementar+confiabilidade] Previsao: MANTERA STREAK [SEM ODDS - ANALISE QUALITATIVA];0.18;PREVISAO_QUALITATIVA
Allsvenskan Women;Pitea W have had Over 2.5 Match Goalsin their last 7 home league matches;Home vs Djurgarden W;;2025-10-05 10:00:00;;;-1.0;OVER_2.5;7;CASA;Pitea W;ALTA_CONFIABILIDADE;0.8300000000000001;VERDADEIRO;PADRAO_FORTE;EXCELENTE;PREVISAO - PADRAO_FORTE: OVER_2.5 em 7 jogos (Odds: N/D) [BONUS +18% complementar+confiabilidade] Previsao: MANTERA STREAK [SEM ODDS - ANALISE QUALITATIVA];0.18;PREVISAO_QUALITATIVA
Allsvenskan Women;Växjö W have had Over 2.5 Match Goalsin their last 7 away league matches;Away vs Norrköping W;;2025-10-05 10:00:00;;;-1.0;OVER_2.5;7;FORA;Växjö W;ALTA_CONFIABILIDADE;0.8300000000000001;VERDADEIRO;PADRAO_FORTE;EXCELENTE;PREVISAO - PADRAO_FORTE: OVER_2.5 em 7 jogos (Odds: N/D) [BONUS +18% complementar+confiabilidade] Previsao: MANTERA STREAK [SEM ODDS - ANALISE QUALITATIVA];0.18;PREVISAO_QUALITATIVA
Allsvenskan Women;Växjö W have had Over 2.5 Match Goalsin their last 9 league matches;Away vs Norrköping W;;2025-10-05 10:00:00;;;-1.0;OVER_2.5;9;FORA;Växjö W;ALTA_CONFIABILIDADE;0.8300000000000001;VERDADEIRO;PADRAO_FORTE;EXCELENTE;PREVISAO - PADRAO_FORTE: OVER_2.5 em 9 jogos (Odds: N/D) [BONUS +18% complementar+confiabilidade] Previsao: MANTERA STREAK [SEM ODDS - ANALISE QUALITATIVA];0.18;PREVISAO_QUALITATIVA
Super Liga;Čukarički have had BTTS in their last 8 league matches;Home vs Javor Ivanjica;2.0;2025-10-05 10:30:00;;;-1.0;BTTS;8;CASA;Čukarički;BAIXA_CONFIABILIDADE;0.38666666666666666;FALSO;PADRAO_REGULAR;REGULAR;PREVISAO - PREVISAO - PADRAO REGULAR: Estatistica BTTS por 8 jogos (Odds: 2.0). Previsao: STREAK SERA INTERROMPIDO. [JOGO FUTURO];0.0;PREVISAO_FUTURO
Superliga;AGF Aarhus have Won their last 7 league matches;Home vs Silkeborg IF;1.49;2025-10-05 11:00:00;;;-1.0;VITORIA;7;CASA;AGF Aarhus;BAIXA_CONFIABILIDADE;0.2866666666666667;FALSO;PADRAO_REGULAR;REGULAR;PREVISAO - PREVISAO - PADRAO REGULAR: Streak de 7 vitorias consecutivas (Odds: 1.49). Previsao: STREAK SERA INTERROMPIDO. [JOGO FUTURO];0.0;PREVISAO_FUTURO
First Division B;SK Beveren have Won their last 8 league matches;Away vs Kortrijk;2.7;2025-10-05 11:00:00;01/mar;VERDADEIRO;1.0;VITORIA;8;FORA;SK Beveren;BAIXA_CONFIABILIDADE;0.5466666666666666;VERDADEIRO;PADRAO_REGULAR;REGULAR;HISTORICO - PREVISAO - PADRAO REGULAR: Streak de 8 vitorias consecutivas (Odds: 2.7). Previsao: MANTERA O STREAK. [JOGO FUTURO];0.0;ANALISE_HISTORICA
Swedish Allsvenskan;IK Sirius have had Over 2.5 Match Goalsin their last 6 league matches;Home vs Malmö FF;1.7;2025-10-05 11:30:00;;;-1.0;OVER_2.5;6;CASA;IK Sirius;BAIXA_CONFIABILIDADE;0.3;FALSO;PADRAO_REGULAR;REGULAR;PREVISAO - PREVISAO - PADRAO REGULAR: Over 2.5 goals em 6 jogos (Odds: 1.7). Previsao: STREAK SERA INTERROMPIDO. [JOGO FUTURO];0.0;PREVISAO_FUTURO
Norwegian 1. Division;Moss have had BTTS in their last 7 league matches;Away vs Lyn;1.62;2025-10-05 12:00:00;4-0;FALSO;0.0;BTTS;7;FORA;Moss;BAIXA_CONFIABILIDADE;0.16;FALSO;PADRAO_REGULAR;REGULAR;HISTORICO - PREVISAO - PADRAO REGULAR: Estatistica BTTS por 7 jogos (Odds: 1.62). Previsao: STREAK SERA INTERROMPIDO. [JOGO FUTURO];0.0;ANALISE_HISTORICA
Norwegian Eliteserien;Strømsgodset IF have had Over 2.5 Match Goalsin their last 6 league matches;Home vs KFUM;1.85;2025-10-05 12:00:00;;;-1.0;OVER_2.5;6;CASA;Strømsgodset IF;BAIXA_CONFIABILIDADE;0.56;VERDADEIRO;PADRAO_REGULAR;REGULAR;PREVISAO - PREVISAO - PADRAO REGULAR: Over 2.5 goals em 6 jogos (Odds: 1.85). Previsao: MANTERA O STREAK. [JOGO FUTURO];0.0;PREVISAO_FUTURO
1. Liga;Miedź Legnica have had Over 2.5 Match Goalsin their last 7 away league matches;Away vs Górnik Łęczna;1.7;2025-10-05 12:30:00;;;-1.0;OVER_2.5;7;FORA;Miedź Legnica;BAIXA_CONFIABILIDADE;0.3466666666666667;FALSO;PADRAO_REGULAR;REGULAR;PREVISAO - PREVISAO - PADRAO REGULAR: Over 2.5 goals em 7 jogos (Odds: 1.7). Previsao: STREAK SERA INTERROMPIDO. [JOGO FUTURO];0.0;PREVISAO_FUTURO
Superliga;FC København have had BTTS in their last 7 league matches;Home vs Midtjylland;1.7;2025-10-05 13:00:00;;;-1.0;BTTS;7;CASA;FC København;BAIXA_CONFIABILIDADE;0.18666666666666668;FALSO;PADRAO_REGULAR;REGULAR;PREVISAO - PREVISAO - PADRAO REGULAR: Estatistica BTTS por 7 jogos (Odds: 1.7). Previsao: STREAK SERA INTERROMPIDO. [JOGO FUTURO];0.0;PREVISAO_FUTURO
Segunda Division;Santander have had BTTS in their last 7 league matches;Home vs Malaga;1.8;2025-10-05 13:30:00;3-0;FALSO;0.0;BTTS;7;CASA;Santander;BAIXA_CONFIABILIDADE;0.24;FALSO;PADRAO_REGULAR;REGULAR;HISTORICO - PREVISAO - PADRAO REGULAR: Estatistica BTTS por 7 jogos (Odds: 1.8). Previsao: STREAK SERA INTERROMPIDO. [JOGO FUTURO];0.0;ANALISE_HISTORICA
Segunda Division;Santander have had Over 2.5 Match Goalsin their last 7 league matches;Home vs Malaga;1.85;2025-10-05 13:30:00;3-0;VERDADEIRO;1.0;OVER_2.5;7;CASA;Santander;BAIXA_CONFIABILIDADE;0.6733333333333333;VERDADEIRO;PADRAO_SOLIDO;BOA;HISTORICO - PREVISAO - PADRAO SOLIDO: Over 2.5 goals em 7 jogos (Odds: 1.85). Previsao: MANTERA O STREAK. [JOGO FUTURO];0.0;ANALISE_HISTORICA
Segunda Liga;Benfica II have had BTTS in their last 6 league matches;Home vs Penafiel;1.8;2025-10-05 14:00:00;;;-1.0;BTTS;6;CASA;Benfica II;BAIXA_CONFIABILIDADE;0.6733333333333333;VERDADEIRO;PADRAO_SOLIDO;BOA;PREVISAO - PREVISAO - PADRAO SOLIDO: Estatistica BTTS por 6 jogos (Odds: 1.8). Previsao: MANTERA O STREAK. [JOGO FUTURO];0.0;PREVISAO_FUTURO
Super Liga;Crvena Zvezda have Won their last 8 league matches;Away vs Napredak;1.2;2025-10-05 14:00:00;0-3;VERDADEIRO;1.0;VITORIA;8;FORA;Crvena Zvezda;BAIXA_CONFIABILIDADE;0.7533333333333333;VERDADEIRO;PADRAO_FORTE;EXCELENTE;HISTORICO - PREVISAO - PADRAO FORTE: Streak de 8 vitorias consecutivas (Odds: 1.2). Previsao: MANTERA O STREAK. [JOGO FUTURO];0.0;ANALISE_HISTORICA
Eredivisie;NEC Nijmegen have had Over 2.5 Match Goalsin their last 7 league matches;Away vs Go Ahead Eagles;1.44;2025-10-05 15:00:00;01/jan;FALSO;0.0;OVER_2.5;7;FORA;NEC Nijmegen;BAIXA_CONFIABILIDADE;0.42;FALSO;PADRAO_REGULAR;REGULAR;HISTORICO - PREVISAO - PADRAO REGULAR: Over 2.5 goals em 7 jogos (Odds: 1.44). Previsao: STREAK SERA INTERROMPIDO. [JOGO FUTURO];0.0;ANALISE_HISTORICA
1. SNL;Celje have had Over 2.5 Match Goalsin their last 6 away league matches;Away vs Radomlje;1.4;2025-10-05 15:15:00;0-3;VERDADEIRO;1.0;OVER_2.5;6;FORA;Celje;BAIXA_CONFIABILIDADE;0.5933333333333334;VERDADEIRO;PADRAO_SOLIDO;REGULAR;HISTORICO - PREVISAO - PADRAO SOLIDO: Over 2.5 goals em 6 jogos (Odds: 1.4). Previsao: MANTERA O STREAK. [JOGO FUTURO];0.0;ANALISE_HISTORICA
1. SNL;Celje have had Over 2.5 Match Goalsin their last 8 league matches;Away vs Radomlje;1.4;2025-10-05 15:15:00;0-3;VERDADEIRO;1.0;OVER_2.5;8;FORA;Celje;BAIXA_CONFIABILIDADE;0.84;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;HISTORICO - PREVISAO - PADRAO FORTISSIMO: Over 2.5 goals em 8 jogos (Odds: 1.4). Previsao: MANTERA O STREAK. [JOGO FUTURO];0.0;ANALISE_HISTORICA
Primera B Nacional;Talleres Remedios de Escalada have Lost their last 6 away league matches;Away vs Almirante Brown;1.81;2025-10-05 15:30:00;02/jan;VERDADEIRO;1.0;DERROTA;6;FORA;Talleres Remedios de Escalada;BAIXA_CONFIABILIDADE;0.7733333333333333;VERDADEIRO;PADRAO_FORTE;EXCELENTE;HISTORICO - PREVISAO - PADRAO FORTE: Streak de 6 derrotas consecutivas (Odds: 1.81). Previsao: MANTERA O STREAK. [JOGO FUTURO];0.0;ANALISE_HISTORICA
La Liga;Celta have had BTTS in their last 6 league matches;Home vs Ath Madrid;1.8;2025-10-05 16:00:00;01/jan;VERDADEIRO;1.0;BTTS;6;CASA;Celta;BAIXA_CONFIABILIDADE;0.6733333333333333;VERDADEIRO;PADRAO_SOLIDO;BOA;HISTORICO - PREVISAO - PADRAO SOLIDO: Estatistica BTTS por 6 jogos (Odds: 1.8). Previsao: MANTERA O STREAK. [JOGO FUTURO];0.0;ANALISE_HISTORICA
Iceland Besta Deildin;Víkingur Reykjavík have had BTTS in their last 10 home league matches;Home vs FH;1.61;2025-10-05 16:15:00;;;-1.0;BTTS;10;CASA;Víkingur Reykjavík;BAIXA_CONFIABILIDADE;0.31;FALSO;PADRAO_REGULAR;REGULAR;PREVISAO - PREVISAO - PADRAO REGULAR: Estatistica BTTS por 10 jogos (Odds: 1.61). [BONUS +5% complementar+confiabilidade] Previsao: STREAK SERA INTERROMPIDO. [JOGO FUTURO];0.05;PREVISAO_FUTURO
Iceland Besta Deildin;Víkingur Reykjavík have had Over 2.5 Match Goalsin their last 11 home league matches;Home vs FH;1.44;2025-10-05 16:15:00;;;-1.0;OVER_2.5;11;CASA;Víkingur Reykjavík;BAIXA_CONFIABILIDADE;0.75;VERDADEIRO;PADRAO_FORTE;BOA;PREVISAO - PREVISAO - PADRAO FORTE: Over 2.5 goals em 11 jogos (Odds: 1.44). [BONUS +5% complementar+confiabilidade] Previsao: MANTERA O STREAK. [JOGO FUTURO];0.05;PREVISAO_FUTURO
Venezuela Primera Division;Yaracuyanos have Lost their last 7 away league matches;Away vs Estudiantes Mérida;1.36;2025-10-05 16:30:00;0-2;FALSO;0.0;DERROTA;7;FORA;Yaracuyanos;BAIXA_CONFIABILIDADE;0.36;FALSO;PADRAO_REGULAR;REGULAR;HISTORICO - PREVISAO - PADRAO REGULAR: Streak de 7 derrotas consecutivas (Odds: 1.36). Previsao: STREAK SERA INTERROMPIDO. [JOGO FUTURO];0.0;ANALISE_HISTORICA
US NWSL;Chicago Red Stars W have had BTTS in their last 8 home league matches;Home vs Utah Royals W;;2025-10-05 17:00:00;;;-1.0;BTTS;8;CASA;Chicago Red Stars W;ALTA_CONFIABILIDADE;0.71;VERDADEIRO;PADRAO_SOLIDO;BOA;PREVISAO - PADRAO_SOLIDO: BTTS em 8 jogos (Odds: N/D) [BONUS +8% complementar+confiabilidade] Previsao: MANTERA STREAK [SEM ODDS - ANALISE QUALITATIVA];0.08;PREVISAO_QUALITATIVA
Portugese Liga NOS;Porto have Won their last 7 league matches;Home vs Benfica;1.86;2025-10-05 17:15:00;0-0;FALSO;0.0;VITORIA;7;CASA;Porto;BAIXA_CONFIABILIDADE;0.25333333333333335;FALSO;PADRAO_REGULAR;REGULAR;HISTORICO - PREVISAO - PADRAO REGULAR: Streak de 7 vitorias consecutivas (Odds: 1.86). Previsao: STREAK SERA INTERROMPIDO. [JOGO FUTURO];0.0;ANALISE_HISTORICA
Colombia Primera B;Leones FC have Lost their last 6 league matches;Away vs Cúcuta Deportivo;1.25;2025-10-05 18:00:00;;;-1.0;DERROTA;6;FORA;Leones FC;BAIXA_CONFIABILIDADE;0.7066666666666667;VERDADEIRO;PADRAO_FORTE;BOA;PREVISAO - PREVISAO - PADRAO FORTE: Streak de 6 derrotas consecutivas (Odds: 1.25). Previsao: MANTERA O STREAK. [JOGO FUTURO];0.0;PREVISAO_FUTURO
Primera Division;Peñarol have Won their last 10 home league matches;Home vs Danubio;1.45;2025-10-05 18:00:00;;;-1.0;VITORIA;10;CASA;Peñarol;BAIXA_CONFIABILIDADE;0.6;VERDADEIRO;PADRAO_SOLIDO;REGULAR;PREVISAO - PREVISAO - PADRAO SOLIDO: Streak de 10 vitorias consecutivas (Odds: 1.45). Previsao: MANTERA O STREAK. [JOGO FUTURO];0.0;PREVISAO_FUTURO
Premier League;Cavalry have had Over 2.5 Match Goalsin their last 7 league matches;Away vs Pacific;1.75;2025-10-05 19:00:00;;;-1.0;OVER_2.5;7;FORA;Cavalry;BAIXA_CONFIABILIDADE;0.37333333333333335;FALSO;PADRAO_REGULAR;REGULAR;PREVISAO - PREVISAO - PADRAO REGULAR: Over 2.5 goals em 7 jogos (Odds: 1.75). Previsao: STREAK SERA INTERROMPIDO. [JOGO FUTURO];0.0;PREVISAO_FUTURO
Serie B;Athletico PR have Won their last 7 league matches;Away vs Atlético GO;2.75;2025-10-05 20:30:00;;;-1.0;VITORIA;7;FORA;Athletico PR;MEDIA_CONFIABILIDADE;0.4266666666666667;FALSO;PADRAO_REGULAR;REGULAR;PREVISAO - PREVISAO - PADRAO REGULAR: Streak de 7 vitorias consecutivas (Odds: 2.75). Previsao: STREAK SERA INTERROMPIDO. [JOGO FUTURO];0.0;PREVISAO_FUTURO
Swedish Superettan;Örgryte have Won their last 7 away league matches;Away vs Sandviken;1.75;2025-10-06 14:00:00;;;-1.0;VITORIA;7;FORA;Örgryte;BAIXA_CONFIABILIDADE;0.21333333333333335;FALSO;PADRAO_REGULAR;REGULAR;PREVISAO - PREVISAO - PADRAO REGULAR: Streak de 7 vitorias consecutivas (Odds: 1.75). Previsao: STREAK SERA INTERROMPIDO. [JOGO FUTURO];0.0;PREVISAO_FUTURO
Primera Division;Deportivo Riestra have Won their last 6 home league matches;Home vs Vélez Sarsfield;3.4;2025-10-06 19:00:00;;;-1.0;VITORIA;6;CASA;Deportivo Riestra;BAIXA_CONFIABILIDADE;0.42;FALSO;PADRAO_REGULAR;REGULAR;PREVISAO - PREVISAO - PADRAO REGULAR: Streak de 6 vitorias consecutivas (Odds: 3.4). Previsao: STREAK SERA INTERROMPIDO. [JOGO FUTURO];0.0;PREVISAO_FUTURO
US NWSL;Kansas City Current W have Won their last 7 away league matches;Away vs Angel City W;;2025-10-06 23:30:00;;;-1.0;VITORIA;7;FORA;Kansas City Current W;ALTA_CONFIABILIDADE;0.7999999999999999;VERDADEIRO;PADRAO_FORTE;EXCELENTE;PREVISAO - PADRAO_FORTE: VITORIA em 7 jogos (Odds: N/D) [BONUS +8% complementar+confiabilidade] Previsao: MANTERA STREAK [SEM ODDS - ANALISE QUALITATIVA];0.08;PREVISAO_QUALITATIVA
