League;Stat;Next Match;Odds;Date;Resultado;Situação
Segunda Division;Santander have had Over 2.5 Match Goalsin their last 9 league matches;Home vs La Coruna;1.65;19/10/2025 13:30;;
Norwegian Eliteserien;Strømsgodset IF have had BTTS in their last 6 league matches;Home vs Fredrikstad;1.57;19/10/2025 14:15;;
Super Liga;Crvena Zvezda have Won their last 9 league matches;Home vs IMT Novi Beograd;1.07;19/10/2025 14:30;;
Super Liga;Crvena Zvezda have had Over 2.5 Match Goalsin their last 6 league matches;Home vs IMT Novi Beograd;1.20;19/10/2025 14:30;;
3. Liga;Havelse have had BTTS in their last 6 league matches;Home vs Regensburg;1.53;19/10/2025 14:30;;
Iceland Besta Deildin;Valur have had BTTS in their last 8 home league matches;Home vs FH;1.44;19/10/2025 16:15;;
Segunda Division;UCV Moquegua have had BTTS in their last 8 away league matches;Away vs Unión Comercio;;19/10/2025 17:15;;
Primera B;Concepcion have had Over 2.5 Match Goalsin their last 7 league matches;Home vs San Luis;2.10;19/10/2025 17:30;;
USL Championship;Oakland Roots have had BTTS in their last 6 league matches;Away vs New Mexico United;1.72;19/10/2025 18:00;;
USL Championship;Oakland Roots have had BTTS in their last 6 away league matches;Away vs New Mexico United;1.72;19/10/2025 18:00;;
USL Championship;Oakland Roots have had Over 2.5 Match Goalsin their last 6 away league matches;Away vs New Mexico United;1.72;19/10/2025 18:00;;
Primera Division;Peñarol have Won their last 11 home league matches;Home vs Wanderers;1.29;19/10/2025 18:30;;
Liga Pro;Universidad Católica have had BTTS in their last 6 away league matches;Away vs Libertad;1.67;19/10/2025 20:00;;
Swedish Allsvenskan;Mjällby AIF have Won their last 6 away league matches;Away vs IFK Goteborg;2.57;20/10/2025 14:10;;
Liga 1;CFR Cluj have had BTTS in their last 9 league matches;Away vs Petrolul 52;2.00;20/10/2025 14:30;;
Eerste Divisie;Den Haag have had Over 2.5 Match Goalsin their last 6 league matches;Away vs Jong PSV;;20/10/2025 15:00;;
Eerste Divisie;RKC Waalwijk have had BTTS in their last 6 league matches;Away vs FC Dordrecht;;20/10/2025 15:00;;
Eerste Divisie;Den Haag have Won their last 8 league matches;Away vs Jong PSV;;20/10/2025 15:00;;
Primera Division;Sport Huancayo have had BTTS in their last 6 home league matches;Home vs Alianza Lima;1.80;20/10/2025 15:15;;
Primera Division;Alianza Lima have had Over 2.5 Match Goalsin their last 6 league matches;Away vs Sport Huancayo;2.00;20/10/2025 15:15;;
