League;Stat;Next Match;Odds;Date;Resultado;Situacao;Target;Tipo_Estatistica;Tamanho_Streak;Local_Jogo;Analise_Automatica
3. Liga;Ulm have had BTTS in their last 7 league matches;Away vs Ingolstadt;1.5;1900-10-04 09:00:00;04/jan;FALSO;0;BTTS;7;FORA;⚠️ PADRÃO REGULAR: Estatística BTTS por 7 jogos (Odds: 1.5). Previsão: STREAK SERÁ INTERROMPIDO.
Tweede Divisie;ACV have Lost their last 6 league matches;Home vs Barendrecht;2.2;1900-10-04 09:30:00;;VERDADEIRO;1;DERROTA;6;CASA;✅ PADRÃO SÓLIDO: Streak de 6 derrotas consecutivas (Odds: 2.2). Previsão: MANTERÁ O STREAK.
Tweede Divisie;HHC have Won their last 7 league matches;Home vs Jong Sparta;1.53;1900-10-04 09:30:00;0-2;FALSO;0;VITORIA;7;CASA;⚠️ PADRÃO REGULAR: Streak de 7 vitórias consecutivas (Odds: 1.53). Previsão: STREAK SERÁ INTERROMPIDO.
Vysshaya Liga;Dinamo Minsk have had BTTS in their last 6 league matches;Away vs Molodechno-DYuSSh 4;;1900-10-04 09:45:00;01/mar;FALSO;0;BTTS;6;FORA;Dados insuficientes para análise
Vysshaya Liga;Dinamo Minsk have had Over 2.5 Match Goalsin their last 7 league matches;Away vs Molodechno-DYuSSh 4;;1900-10-04 09:45:00;01/mar;FALSO;0;OVER_2.5;7;FORA;Dados insuficientes para análise
Serie B;Catanzaro haveDrewtheir last 6 league matches;Away vs Monza;3.5;1900-10-04 10:00:00;02/jan;FALSO;0;EMPATE;6;FORA;⚠️ PADRÃO REGULAR: Estatística EMPATE por 6 jogos (Odds: 3.5). Previsão: STREAK SERÁ INTERROMPIDO.
Czech Liga;Karviná have had BTTS in their last 7 league matches;Away vs Pardubice;1.67;1900-10-04 10:00:00;02/jan;FALSO;0;BTTS;7;FORA;⚠️ PADRÃO REGULAR: Estatística BTTS por 7 jogos (Odds: 1.67). Previsão: MANTERÁ O STREAK.
Czech Liga;Karviná have had Over 2.5 Match Goalsin their last 7 league matches;Away vs Pardubice;1.8;1900-10-04 10:00:00;02/jan;FALSO;0;OVER_2.5;7;FORA;⚠️ PADRÃO REGULAR: Over 2.5 goals em 7 jogos (Odds: 1.8). Previsão: MANTERÁ O STREAK.
Iceland Besta Deildin;Afturelding have had BTTS in their last 14 league matches;Away vs KR Reykjavík;1.36;1900-10-04 11:00:00;02/fev;FALSO;0;BTTS;14;FORA;⚠️ PADRÃO REGULAR: Estatística BTTS por 14 jogos (Odds: 1.36). Previsão: STREAK SERÁ INTERROMPIDO.
Iceland Besta Deildin;Afturelding have had BTTS in their last 7 away league matches;Away vs KR Reykjavík;1.36;1900-10-04 11:00:00;02/fev;FALSO;0;BTTS;7;FORA;⚠️ PADRÃO REGULAR: Estatística BTTS por 7 jogos (Odds: 1.36). Previsão: STREAK SERÁ INTERROMPIDO.
Allsvenskan Women;Alingsås W have Lost their last 6 league matches;Home vs Häcken W;;1900-10-04 11:00:00;0-2;VERDADEIRO;1;DERROTA;6;CASA;Dados insuficientes para análise
Scottish League 2;Dumbarton have had BTTS in their last 8 league matches;Away vs Stirling;1.57;1900-10-04 11:00:00;02/fev;FALSO;0;BTTS;8;FORA;⚠️ PADRÃO REGULAR: Estatística BTTS por 8 jogos (Odds: 1.57). Previsão: STREAK SERÁ INTERROMPIDO.
Scottish League 1;East Fife have had BTTS in their last 6 league matches;Home vs Cove Rangers;1.73;1900-10-04 11:00:00;2-0;FALSO;0;BTTS;6;CASA;🎯 PADRÃO FORTÍSSIMO: Estatística BTTS por 6 jogos (Odds: 1.73). Previsão: MANTERÁ O STREAK.
Scottish League 2;Edinburgh City have had BTTS in their last 8 league matches;Away vs Spartans;1.67;1900-10-04 11:00:00;;FALSO;0;BTTS;8;FORA;⚠️ PADRÃO REGULAR: Estatística BTTS por 8 jogos (Odds: 1.67). Previsão: STREAK SERÁ INTERROMPIDO.
National League;Halifax have had Over 2.5 Match Goalsin their last 6 league matches;Home vs Brackley Town;2.15;1900-10-04 11:00:00;2-0;FALSO;0;OVER_2.5;6;CASA;⚠️ PADRÃO REGULAR: Over 2.5 goals em 6 jogos (Odds: 2.15). Previsão: STREAK SERÁ INTERROMPIDO.
Allsvenskan Women;Häcken W have Won their last 7 away league matches;Away vs Alingsås W;;1900-10-04 11:00:00;0-2;VERDADEIRO;1;VITORIA;7;FORA;Dados insuficientes para análise
Allsvenskan Women;Häcken W have had Over 2.5 Match Goalsin their last 6 away league matches;Away vs Alingsås W;;1900-10-04 11:00:00;0-2;FALSO;0;OVER_2.5;6;FORA;Dados insuficientes para análise
Norwegian 1. Division;Hødd have had BTTS in their last 8 away league matches;Away vs Lillestrøm;2.0;1900-10-04 11:00:00;0-4;FALSO;0;BTTS;8;FORA;⚠️ PADRÃO REGULAR: Estatística BTTS por 8 jogos (Odds: 2.0). Previsão: STREAK SERÁ INTERROMPIDO.
Norwegian 1. Division;Kongsvinger have had BTTS in their last 9 league matches;Home vs Skeid;1.62;1900-10-04 11:00:00;3-0;FALSO;0;BTTS;9;CASA;⚠️ PADRÃO REGULAR: Estatística BTTS por 9 jogos (Odds: 1.62). Previsão: STREAK SERÁ INTERROMPIDO.
Northern Ireland Premiership;Larne have Won their last 6 league matches;Away vs Dungannon Swifts;1.9;1900-10-04 11:00:00;;FALSO;0;VITORIA;6;FORA;⚠️ PADRÃO REGULAR: Streak de 6 vitórias consecutivas (Odds: 1.9). Previsão: STREAK SERÁ INTERROMPIDO.
Norwegian 1. Division;Lillestrøm have Won their last 11 league matches;Home vs Hødd;1.17;1900-10-04 11:00:00;0-4;FALSO;0;VITORIA;11;CASA;⚠️ PADRÃO REGULAR: Streak de 11 vitórias consecutivas (Odds: 1.17). Previsão: STREAK SERÁ INTERROMPIDO.
Norwegian 1. Division;Lillestrøm have had Over 2.5 Match Goalsin their last 7 league matches;Home vs Hødd;1.36;1900-10-04 11:00:00;0-4;VERDADEIRO;1;OVER_2.5;7;CASA;⚠️ PADRÃO REGULAR: Over 2.5 goals em 7 jogos (Odds: 1.36). Previsão: STREAK SERÁ INTERROMPIDO.
Norwegian 1. Division;Mjøndalen IF have had Over 2.5 Match Goalsin their last 6 away league matches;Away vs Åsane;1.65;1900-10-04 11:00:00;02/mar;FALSO;0;OVER_2.5;6;FORA;⚠️ PADRÃO REGULAR: Over 2.5 goals em 6 jogos (Odds: 1.65). Previsão: STREAK SERÁ INTERROMPIDO.
National League;Morecambe have had Over 2.5 Match Goalsin their last 7 league matches;Away vs Tamworth;1.53;1900-10-04 11:00:00;01/jan;FALSO;0;OVER_2.5;7;FORA;✅ PADRÃO SÓLIDO: Over 2.5 goals em 7 jogos (Odds: 1.53). Previsão: MANTERÁ O STREAK.
Scottish League 1;Peterhead have had Over 2.5 Match Goalsin their last 6 league matches;Away vs Kelty Hearts;1.8;1900-10-04 11:00:00;01/fev;FALSO;0;OVER_2.5;6;FORA;⚠️ PADRÃO REGULAR: Over 2.5 goals em 6 jogos (Odds: 1.8). Previsão: STREAK SERÁ INTERROMPIDO.
Norwegian 1. Division;Raufoss have had Over 2.5 Match Goalsin their last 8 away league matches;Away vs IK Start;1.53;1900-10-04 11:00:00;4-0;VERDADEIRO;1;OVER_2.5;8;FORA;⚠️ PADRÃO REGULAR: Over 2.5 goals em 8 jogos (Odds: 1.53). Previsão: STREAK SERÁ INTERROMPIDO.
Scottish Championship;Ross County have had BTTS in their last 6 league matches;Home vs Raith R vs;1.83;1900-10-04 11:00:00;2-0;FALSO;0;BTTS;6;CASA;⚠️ PADRÃO REGULAR: Estatística BTTS por 6 jogos (Odds: 1.83). Previsão: STREAK SERÁ INTERROMPIDO.
Norwegian Eliteserien;Sandefjord have had Over 2.5 Match Goalsin their last 9 league matches;Home vs Bryne;1.67;1900-10-04 11:00:00;1-0;FALSO;0;OVER_2.5;9;CASA;⚠️ PADRÃO REGULAR: Over 2.5 goals em 9 jogos (Odds: 1.67). Previsão: STREAK SERÁ INTERROMPIDO.
Norwegian 1. Division;Sogndal have had BTTS in their last 11 league matches;Away vs Aalesunds FK;1.67;1900-10-04 11:00:00;2-0;FALSO;0;BTTS;11;FORA;⚠️ PADRÃO REGULAR: Estatística BTTS por 11 jogos (Odds: 1.67). Previsão: STREAK SERÁ INTERROMPIDO.
Meistriliiga;Tallinna Kalev have Lost their last 7 league matches;Home vs Trans;1.38;1900-10-04 11:00:00;;VERDADEIRO;1;DERROTA;7;CASA;🔥 PADRÃO FORTE: Streak de 7 derrotas consecutivas (Odds: 1.38). Previsão: MANTERÁ O STREAK.
National League;Truro City have Lost their last 6 away league matches;Away vs Woking;2.05;1900-10-04 11:00:00;;FALSO;0;DERROTA;6;FORA;✅ PADRÃO SÓLIDO: Streak de 6 derrotas consecutivas (Odds: 2.05). Previsão: MANTERÁ O STREAK.
Segunda Liga;Portimonense SAD have had BTTS in their last 6 league matches;Home vs União de Leiria;1.73;1900-10-04 11:30:00;;VERDADEIRO;1;BTTS;6;CASA;🎯 PADRÃO FORTÍSSIMO: Estatística BTTS por 6 jogos (Odds: 1.73). Previsão: MANTERÁ O STREAK.
Bundesliga;WSG Tirol have had BTTS in their last 7 league matches;Away vs SV Ried;1.8;1900-10-04 12:00:00;2-0;FALSO;0;BTTS;7;FORA;⚠️ PADRÃO REGULAR: Estatística BTTS por 7 jogos (Odds: 1.8). Previsão: STREAK SERÁ INTERROMPIDO.
Ekstraklasa;Zaglebie Lubin have had Over 2.5 Match Goalsin their last 6 league matches;Away vs Radomiak Radom;1.85;1900-10-04 12:30:00;03/jan;FALSO;0;OVER_2.5;6;FORA;⚠️ PADRÃO REGULAR: Over 2.5 goals em 6 jogos (Odds: 1.85). Previsão: MANTERÁ O STREAK.
Meistriliiga;Flora have had Over 2.5 Match Goalsin their last 8 league matches;Away vs Harju Jalgpallikool;1.5;1900-10-04 13:00:00;01/fev;FALSO;0;OVER_2.5;8;FORA;⚠️ PADRÃO REGULAR: Over 2.5 goals em 8 jogos (Odds: 1.5). Previsão: STREAK SERÁ INTERROMPIDO.
Meistriliiga;Harju Jalgpallikool have had Over 2.5 Match Goalsin their last 8 league matches;Home vs Flora;1.5;1900-10-04 13:00:00;01/fev;FALSO;0;OVER_2.5;8;CASA;⚠️ PADRÃO REGULAR: Over 2.5 goals em 8 jogos (Odds: 1.5). Previsão: STREAK SERÁ INTERROMPIDO.
1. HNL;Slaven Koprivnica have had Over 2.5 Match Goalsin their last 7 league matches;Home vs Osijek;1.85;1900-10-04 13:00:00;;VERDADEIRO;1;OVER_2.5;7;CASA;🎯 PADRÃO FORTÍSSIMO: Over 2.5 goals em 7 jogos (Odds: 1.85). Previsão: MANTERÁ O STREAK.
Northern Ireland Premiership;Glenavon have Lost their last 9 league matches;Away vs Portadown;1.9;1900-10-04 13:30:00;;VERDADEIRO;1;DERROTA;9;FORA;⚠️ PADRÃO REGULAR: Streak de 9 derrotas consecutivas (Odds: 1.9). Previsão: MANTERÁ O STREAK.
Northern Ireland Premiership;Portadown have had Over 2.5 Match Goalsin their last 6 league matches;Home vs Glenavon;1.95;1900-10-04 13:30:00;;VERDADEIRO;1;OVER_2.5;6;CASA;⚠️ PADRÃO REGULAR: Over 2.5 goals em 6 jogos (Odds: 1.95). Previsão: MANTERÁ O STREAK.
Turkish Super Lig;Galatasaray have Won their last 7 league matches;Home vs Besiktas;1.56;1900-10-04 14:00:00;01/jan;FALSO;0;VITORIA;7;CASA;⚠️ PADRÃO REGULAR: Streak de 7 vitórias consecutivas (Odds: 1.56). Previsão: STREAK SERÁ INTERROMPIDO.
Serie B;Cesena have had BTTS in their last 6 league matches;Home vs Reggiana;2.0;1900-10-04 14:30:00;01/fev;FALSO;0;BTTS;6;CASA;⚠️ PADRÃO REGULAR: Estatística BTTS por 6 jogos (Odds: 2.0). Previsão: STREAK SERÁ INTERROMPIDO.
Premier League;HFX Wanderers have had Over 2.5 Match Goalsin their last 6 home league matches;Home vs York9;1.8;1900-10-04 15:00:00;;FALSO;0;OVER_2.5;6;CASA;⚠️ PADRÃO REGULAR: Over 2.5 goals em 6 jogos (Odds: 1.8). Previsão: STREAK SERÁ INTERROMPIDO.
Primera Division;Los Chankas have had BTTS in their last 10 home league matches;Home vs Cusco FC;1.67;1900-10-04 15:00:00;;VERDADEIRO;1;BTTS;10;CASA;✅ PADRÃO SÓLIDO: Estatística BTTS por 10 jogos (Odds: 1.67). Previsão: MANTERÁ O STREAK.
Swiss Super League;Grasshopper have had BTTS in their last 7 league matches;Home vs Zürich;1.53;1900-10-04 15:30:00;3-0;FALSO;0;BTTS;7;CASA;⚠️ PADRÃO REGULAR: Estatística BTTS por 7 jogos (Odds: 1.53). Previsão: STREAK SERÁ INTERROMPIDO.
US MLS;Nashville SC (MLS)have Lost their last 6 away league matches;Away vs CF Montréal;3.3;1900-10-04 15:30:00;;FALSO;0;DERROTA;6;FORA;⚠️ PADRÃO REGULAR: Streak de 6 derrotas consecutivas (Odds: 3.3). Previsão: STREAK SERÁ INTERROMPIDO.
Fortuna Liga;Žilina have had Over 2.5 Match Goalsin their last 7 league matches;Home vs FK Košice;1.53;1900-10-04 15:30:00;;VERDADEIRO;1;OVER_2.5;7;CASA;✅ PADRÃO SÓLIDO: Over 2.5 goals em 7 jogos (Odds: 1.53). Previsão: MANTERÁ O STREAK.
Colombia Primera A;Envigado haveDrewtheir last 6 home league matches;Home vs Atlético Bucaramanga;3.2;1900-10-04 16:00:00;;FALSO;0;EMPATE;6;CASA;⚠️ PADRÃO REGULAR: Estatística EMPATE por 6 jogos (Odds: 3.2). Previsão: STREAK SERÁ INTERROMPIDO.
Iceland Besta Deildin;Valur have had BTTS in their last 7 home league matches;Home vs Stjarnan;1.36;1900-10-04 17:00:00;03/fev;FALSO;0;BTTS;7;CASA;⚠️ PADRÃO REGULAR: Estatística BTTS por 7 jogos (Odds: 1.36). Previsão: STREAK SERÁ INTERROMPIDO.
Premier League;Forge have Won their last 6 home league matches;Home vs Vancouver FC;1.27;1900-10-04 17:30:00;;FALSO;0;VITORIA;6;CASA;⚠️ PADRÃO REGULAR: Streak de 6 vitórias consecutivas (Odds: 1.27). Previsão: STREAK SERÁ INTERROMPIDO.
USL Championship;Loudoun United have had BTTS in their last 7 league matches;Home vs Birmingham Legion;1.61;1900-10-04 18:00:00;;FALSO;0;BTTS;7;CASA;⚠️ PADRÃO REGULAR: Estatística BTTS por 7 jogos (Odds: 1.61). Previsão: STREAK SERÁ INTERROMPIDO.
USL Championship;Loudoun United have had Over 2.5 Match Goalsin their last 7 league matches;Home vs Birmingham Legion;1.61;1900-10-04 18:00:00;;FALSO;0;OVER_2.5;7;CASA;⚠️ PADRÃO REGULAR: Over 2.5 goals em 7 jogos (Odds: 1.61). Previsão: STREAK SERÁ INTERROMPIDO.
Serie A;Bragantino have had BTTS in their last 6 home league matches;Home vs Grêmio;1.91;1900-10-04 18:30:00;1-0;FALSO;0;BTTS;6;CASA;⚠️ PADRÃO REGULAR: Estatística BTTS por 6 jogos (Odds: 1.91). Previsão: STREAK SERÁ INTERROMPIDO.
Serie A;Bragantino have had BTTS in their last 6 league matches;Home vs Grêmio;1.91;1900-10-04 18:30:00;1-0;FALSO;0;BTTS;6;CASA;⚠️ PADRÃO REGULAR: Estatística BTTS por 6 jogos (Odds: 1.91). Previsão: STREAK SERÁ INTERROMPIDO.
Serie A;Internacional RS have had BTTS in their last 11 league matches;Home vs Botafogo FR;1.95;1900-10-04 18:30:00;;FALSO;0;BTTS;11;CASA;⚠️ PADRÃO REGULAR: Estatística BTTS por 11 jogos (Odds: 1.95). Previsão: STREAK SERÁ INTERROMPIDO.
Serie A;Internacional RS have had BTTS in their last 6 home league matches;Home vs Botafogo FR;1.95;1900-10-04 18:30:00;;FALSO;0;BTTS;6;CASA;⚠️ PADRÃO REGULAR: Estatística BTTS por 6 jogos (Odds: 1.95). Previsão: STREAK SERÁ INTERROMPIDO.
Primera Division;Platense have had BTTS in their last 6 league matches;Away vs Atlético Tucumán;2.25;1900-10-04 19:00:00;2-0;FALSO;0;BTTS;6;FORA;⚠️ PADRÃO REGULAR: Estatística BTTS por 6 jogos (Odds: 2.25). Previsão: STREAK SERÁ INTERROMPIDO.
Honduras Liga Nacional;Olancho have had BTTS in their last 8 league matches;Away vs Victoria;;1900-10-04 20:15:00;02/fev;FALSO;0;BTTS;8;FORA;Dados insuficientes para análise
US MLS;Orlando City SC have had BTTS in their last 13 league matches;Home vs Columbus Crew;1.44;1900-10-04 20:30:00;;VERDADEIRO;1;BTTS;13;CASA;✅ PADRÃO SÓLIDO: Estatística BTTS por 13 jogos (Odds: 1.44). Previsão: MANTERÁ O STREAK.
US MLS;Orlando City SC have had BTTS in their last 7 home league matches;Home vs Columbus Crew;1.44;1900-10-04 20:30:00;;VERDADEIRO;1;BTTS;7;CASA;🔥 PADRÃO FORTE: Estatística BTTS por 7 jogos (Odds: 1.44). Previsão: MANTERÁ O STREAK.
US MLS;Sporting KC have had Over 2.5 Match Goalsin their last 8 away league matches;Away vs Minnesota United;1.44;1900-10-04 21:30:00;;VERDADEIRO;1;OVER_2.5;8;FORA;✅ PADRÃO SÓLIDO: Over 2.5 goals em 8 jogos (Odds: 1.44). Previsão: MANTERÁ O STREAK.
US MLS;Toronto haveDrewtheir last 7 league matches;Away vs Chicago Fire;4.33;1900-10-04 21:30:00;;VERDADEIRO;1;EMPATE;7;FORA;⚠️ PADRÃO REGULAR: Estatística EMPATE por 7 jogos (Odds: 4.33). Previsão: STREAK SERÁ INTERROMPIDO.
Liga de Expansión MX;Dorados have Lost their last 6 league matches;Away vs Universidad Guadalajara;1.45;1900-10-04 22:00:00;2-0;VERDADEIRO;1;DERROTA;6;FORA;🔥 PADRÃO FORTE: Streak de 6 derrotas consecutivas (Odds: 1.45). Previsão: MANTERÁ O STREAK.
Liga de Expansión MX;Jaiba Brava have had BTTS in their last 6 league matches;Home vs Mineros de Zacatecas;;1900-10-04 22:00:00;;VERDADEIRO;1;BTTS;6;CASA;Dados insuficientes para análise
US MLS;Colorado Rapids have had Over 2.5 Match Goalsin their last 9 away league matches;Away vs Real Salt Lake;1.53;1900-10-04 22:30:00;;FALSO;0;OVER_2.5;9;FORA;⚠️ PADRÃO REGULAR: Over 2.5 goals em 9 jogos (Odds: 1.53). Previsão: STREAK SERÁ INTERROMPIDO.
US NWSL;Bay FC W have had BTTS in their last 7 away league matches;Away vs Portland Thorns W;;1900-10-04 23:00:00;;VERDADEIRO;1;BTTS;7;FORA;Dados insuficientes para análise
USL Championship;Orange County have had BTTS in their last 6 league matches;Home vs El Paso Locomotive;1.66;1900-10-04 23:00:00;;FALSO;0;BTTS;6;CASA;⚠️ PADRÃO REGULAR: Estatística BTTS por 6 jogos (Odds: 1.66). Previsão: STREAK SERÁ INTERROMPIDO.
USL Championship;Orange County have had Over 2.5 Match Goalsin their last 11 home league matches;Home vs El Paso Locomotive;1.8;1900-10-04 23:00:00;;FALSO;0;OVER_2.5;11;CASA;⚠️ PADRÃO REGULAR: Over 2.5 goals em 11 jogos (Odds: 1.8). Previsão: STREAK SERÁ INTERROMPIDO.
US MLS;Seattle Sounders FC have had BTTS in their last 6 home league matches;Home vs Portland Timbers;1.57;1900-10-04 23:30:00;;FALSO;0;BTTS;6;CASA;⚠️ PADRÃO REGULAR: Estatística BTTS por 6 jogos (Odds: 1.57). Previsão: STREAK SERÁ INTERROMPIDO.
J League 2;Sagan Tosu have had BTTS in their last 6 league matches;Away vs Renofa Yamaguchi;1.91;1900-10-05 02:00:00;01/fev;VERDADEIRO;1;BTTS;6;FORA;⚠️ PADRÃO REGULAR: Estatística BTTS por 6 jogos (Odds: 1.91). Previsão: STREAK SERÁ INTERROMPIDO.
Premier League;Gazovik Orenburg have had BTTS in their last 6 league matches;Home vs Rostov;;1900-10-05 06:00:00;;FALSO;0;BTTS;6;CASA;Dados insuficientes para análise
Premier League;Gazovik Orenburg have had Over 2.5 Match Goalsin their last 6 league matches;Home vs Rostov;;1900-10-05 06:00:00;;FALSO;0;OVER_2.5;6;CASA;Dados insuficientes para análise
Swedish Superettan;Utsikten have had Over 2.5 Match Goalsin their last 6 league matches;Away vs Oddevold;1.8;1900-10-05 08:00:00;;FALSO;0;OVER_2.5;6;FORA;⚠️ PADRÃO REGULAR: Over 2.5 goals em 6 jogos (Odds: 1.8). Previsão: STREAK SERÁ INTERROMPIDO.
League One;Chongqing Tongliang Long have had Over 2.5 Match Goalsin their last 6 away league matches;Away vs Guangxi Baoyun;1.9;1900-10-05 08:30:00;01/fev;VERDADEIRO;1;OVER_2.5;6;FORA;⚠️ PADRÃO REGULAR: Over 2.5 goals em 6 jogos (Odds: 1.9). Previsão: MANTERÁ O STREAK.
Meistriliiga;Levadia have had BTTS in their last 8 league matches;Home vs Tammeka;2.2;1900-10-05 08:30:00;6-0;FALSO;0;BTTS;8;CASA;⚠️ PADRÃO REGULAR: Estatística BTTS por 8 jogos (Odds: 2.2). Previsão: STREAK SERÁ INTERROMPIDO.
Meistriliiga;Levadia have had Over 2.5 Match Goalsin their last 8 league matches;Home vs Tammeka;1.28;1900-10-05 08:30:00;6-0;VERDADEIRO;1;OVER_2.5;8;CASA;✅ PADRÃO SÓLIDO: Over 2.5 goals em 8 jogos (Odds: 1.28). Previsão: MANTERÁ O STREAK.
League One;Shenzhen Juniors have had Over 2.5 Match Goalsin their last 9 league matches;Away vs Guangzhou E-Power;;1900-10-05 08:30:00;;FALSO;0;OVER_2.5;9;FORA;Dados insuficientes para análise
Allsvenskan Women;Brommapojkarna W have had BTTS in their last 8 league matches;Away vs Linkoping W;;1900-10-05 09:00:00;;VERDADEIRO;1;BTTS;8;FORA;Dados insuficientes para análise
Allsvenskan Women;Brommapojkarna W have had Over 2.5 Match Goalsin their last 8 league matches;Away vs Linkoping W;;1900-10-05 09:00:00;;VERDADEIRO;1;OVER_2.5;8;FORA;Dados insuficientes para análise
Liga 1;CFR Cluj have had BTTS in their last 7 league matches;Home vs Hermannstadt;2.0;1900-10-05 09:00:00;02/jan;VERDADEIRO;1;BTTS;7;CASA;⚠️ PADRÃO REGULAR: Estatística BTTS por 7 jogos (Odds: 2.0). Previsão: STREAK SERÁ INTERROMPIDO.
Allsvenskan Women;Linkoping W have had Over 2.5 Match Goalsin their last 6 league matches;Home vs Brommapojkarna W;;1900-10-05 09:00:00;;VERDADEIRO;1;OVER_2.5;6;CASA;Dados insuficientes para análise
Allsvenskan Women;Linkoping W have had Over 2.5 Match Goalsin their last 7 home league matches;Home vs Brommapojkarna W;;1900-10-05 09:00:00;;VERDADEIRO;1;OVER_2.5;7;CASA;Dados insuficientes para análise
Premier League;Dynamo Kyiv have had BTTS in their last 6 league matches;Home vs Metalist 1925 Kharkiv;;1900-10-05 09:30:00;01/jan;VERDADEIRO;1;BTTS;6;CASA;Dados insuficientes para análise
Premier League;Dynamo Kyiv have had Over 2.5 Match Goalsin their last 6 league matches;Home vs Metalist 1925 Kharkiv;;1900-10-05 09:30:00;01/jan;FALSO;0;OVER_2.5;6;CASA;Dados insuficientes para análise
Swedish Superettan;Falkenbergs FF have had Over 2.5 Match Goalsin their last 6 league matches;Away vs Orebro SK;1.67;1900-10-05 10:00:00;;VERDADEIRO;1;OVER_2.5;6;FORA;🔥 PADRÃO FORTE: Over 2.5 goals em 6 jogos (Odds: 1.67). Previsão: MANTERÁ O STREAK.
