League;Stat;Next Match;Odds;Date;Resultado;Situação;Tipo_Estatistica;Liga_Categoria;Probabilidade_Sucesso;Previsao;Efetividade;Padrao;Recomendacao;Analise_Detalhada
Ekstraklasa;Arka Gdynia have had Over 2.5 Match Goals in their last 6 league matches;ARKA GDYNIA vs nieciecza;1.85;21/11/2025 14:00;'2-0;FALSO;OVER_2.5;MEDIA_CONFIABILIDADE;0.95;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.85) [BONUS +15%] Previsao: MANTERA STREAK
Superliga;AGF Aarhus have had BTTS in their last 7 away league matches;AGF AARHUS vs silkeborg if;1.53;21/11/2025 15:00;'0-2;FALSO;BTTS;MEDIA_CONFIABILIDADE;0.8493257303448865;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 7 jogos (Odds: 1.53) [BONUS +15%] Previsao: MANTERA STREAK
Norwegian Eliteserien;KFUM have had BTTS in their last 8 league matches;KFUM vs fk bodø / glimt;1.7;21/11/2025 15:00;'1-2;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.95;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 8 jogos (Odds: 1.7) [BONUS +15%] Previsao: MANTERA STREAK
First Division;Lyngby Boldklub have had Over 2.5 Match Goals in their last 9 league matches;LYNGBY BOLDKLUB vs esbjerg;1.53;21/11/2025 15:00;'2-0;FALSO;OVER_2.5;MEDIA_CONFIABILIDADE;0.7821270073331823;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 9 jogos (Odds: 1.53) [BONUS +15%] Previsao: MANTERA STREAK
Eerste Divisie;Den Haag have Won their last 12 league matches;DEN HAAG vs sc cambuur;1.81;21/11/2025 16:00;'2-0;FALSO;VITORIA;MEDIA_CONFIABILIDADE;0.8169345238095238;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: VITORIA em 12 jogos (Odds: 1.81) [BONUS +15%] Previsao: MANTERA STREAK
Eerste Divisie;Den Haag have Won their last 6 away league matches;DEN HAAG vs sc cambuur;1.81;21/11/2025 16:00;'2-0;FALSO;VITORIA;MEDIA_CONFIABILIDADE;0.8826660780739726;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: VITORIA em 6 jogos (Odds: 1.81) [BONUS +15%] Previsao: MANTERA STREAK
Eerste Divisie;Den Haag have had Over 2.5 Match Goals in their last 10 league matches;DEN HAAG vs sc cambuur;1.53;21/11/2025 16:00;'2-0;FALSO;OVER_2.5;MEDIA_CONFIABILIDADE;0.6482640165228231;FALSO;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: OVER_2.5 em 10 jogos (Odds: 1.53) [BONUS +15%] Previsao: INTERROMPERA STREAK
Eerste Divisie;MVV Maastricht have had Over 2.5 Match Goals in their last 7 league matches;MVV MAASTRICHT vs jong az;1.48;21/11/2025 16:00;'1-3;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.5464257454951373;FALSO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 7 jogos (Odds: 1.48) [BONUS +15%] Previsao: INTERROMPERA STREAK
Eerste Divisie;RKC Waalwijk have had BTTS in their last 10 league matches;RKC WAALWIJK vs top oss;1.44;21/11/2025 16:00;'0-0;FALSO;BTTS;MEDIA_CONFIABILIDADE;0.8007703823953825;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 10 jogos (Odds: 1.44) [BONUS +15%] Previsao: MANTERA STREAK
Eerste Divisie;RKC Waalwijk have had Over 2.5 Match Goals in their last 9 league matches;RKC WAALWIJK vs top oss;1.4;21/11/2025 16:00;'0-0;FALSO;OVER_2.5;MEDIA_CONFIABILIDADE;0.9358687912964228;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 9 jogos (Odds: 1.4) [BONUS +15%] Previsao: MANTERA STREAK
First Division B;SK Beveren have Won their last 6 home league matches;SK BEVEREN vs kas eupen;1.5;21/11/2025 16:00;'1-1;FALSO;VITORIA;MEDIA_CONFIABILIDADE;0.9172674963924964;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: VITORIA em 6 jogos (Odds: 1.5) [BONUS +15%] Previsao: MANTERA STREAK
First Division B;SK Beveren have had BTTS in their last 7 league matches;SK BEVEREN vs kas eupen;1.91;21/11/2025 16:00;'1-1;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.8235373486187934;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 7 jogos (Odds: 1.91) [BONUS +15%] Previsao: MANTERA STREAK
Eerste Divisie;Vitesse have had Over 2.5 Match Goals in their last 7 league matches;VITESSE vs fc dordrecht;1.6;21/11/2025 16:00;'1-1;FALSO;OVER_2.5;MEDIA_CONFIABILIDADE;0.5092363402043212;FALSO;VERDADEIRO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 7 jogos (Odds: 1.6) [BONUS +15%] Previsao: INTERROMPERA STREAK
1. Liga;Pogon Grodzisk Mazowiecki have had Over 2.5 Match Goals in their last 9 league matches;POGON GRODZISK MAZOWIECKI vs śląsk wrocław;1.62;21/11/2025 16:30;'2-2;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.803216293047468;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 9 jogos (Odds: 1.62) [BONUS +15%] Previsao: MANTERA STREAK
1. Liga;Śląsk Wrocław have had BTTS in their last 7 league matches;ŚLĄSK WROCŁAW vs pogon grodzisk mazowiecki;1.5;21/11/2025 16:30;'2-2;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.8896561309261556;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 7 jogos (Odds: 1.5) [BONUS +15%] Previsao: MANTERA STREAK
Northern Ireland Premiership;Glenavon have Lost their last 9 away league matches;GLENAVON vs larne;1.25;21/11/2025 17:00;'2-1;VERDADEIRO;DERROTA;MEDIA_CONFIABILIDADE;0.95;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: DERROTA em 9 jogos (Odds: 1.25) [BONUS +15%] Previsao: MANTERA STREAK
Bolivia Primera Division;Aurora have had BTTS in their last 8 league matches;AURORA vs gualberto villarroel sj;1.62;21/11/2025 18:30;'4-1;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.95;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 8 jogos (Odds: 1.62) [BONUS +15%] Previsao: MANTERA STREAK
Bolivia Primera Division;Aurora have had Over 2.5 Match Goals in their last 6 away league matches;AURORA vs gualberto villarroel sj;1.6;21/11/2025 18:30;'4-1;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.95;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.6) [BONUS +15%] Previsao: MANTERA STREAK
Bolivia Primera Division;Aurora have had Over 2.5 Match Goals in their last 8 league matches;AURORA vs gualberto villarroel sj;1.6;21/11/2025 18:30;'4-1;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.7782240560991651;VERDADEIRO;VERDADEIRO;PADRAO_FORTE;EXCELENTE;PADRAO_FORTE: OVER_2.5 em 8 jogos (Odds: 1.6) [BONUS +15%] Previsao: MANTERA STREAK
Chile Primera Division;Audax Italiano have had BTTS in their last 6 league matches;AUDAX ITALIANO vs everton;1.83;21/11/2025 20:00;'2-0;FALSO;BTTS;MEDIA_CONFIABILIDADE;0.8439724881214905;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 6 jogos (Odds: 1.83) [BONUS +15%] Previsao: MANTERA STREAK
Chile Primera Division;Audax Italiano have had Over 2.5 Match Goals in their last 6 league matches;AUDAX ITALIANO vs everton;2.1;21/11/2025 20:00;'2-0;FALSO;OVER_2.5;MEDIA_CONFIABILIDADE;0.8757412514509103;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 2.1) [BONUS +15%] Previsao: MANTERA STREAK
Bolivia Primera Division;ABB have had Over 2.5 Match Goals in their last 7 away league matches;ABB vs independiente petrolero;1.53;21/11/2025 20:30;'2-0;FALSO;OVER_2.5;MEDIA_CONFIABILIDADE;0.5672297127061829;FALSO;VERDADEIRO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 7 jogos (Odds: 1.53) [BONUS +15%] Previsao: INTERROMPERA STREAK
Bolivia Primera Division;Independiente Petrolero have had Over 2.5 Match Goals in their last 10 league matches;INDEPENDIENTE PETROLERO vs abb;1.53;21/11/2025 20:30;'2-0;FALSO;OVER_2.5;MEDIA_CONFIABILIDADE;0.6482640165228231;FALSO;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: OVER_2.5 em 10 jogos (Odds: 1.53) [BONUS +15%] Previsao: INTERROMPERA STREAK
K League 1;Daejeon Citizen have Won their last 6 home league matches;DAEJEON CITIZEN vs gangwon;2.15;22/11/2025 02:00;'1-1;FALSO;VITORIA;MEDIA_CONFIABILIDADE;0.9438998447204968;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: VITORIA em 6 jogos (Odds: 2.15) [BONUS +15%] Previsao: MANTERA STREAK
Super League;Beijin Guoan have had Over 2.5 Match Goals in their last 7 home league matches;BEIJIN GUOAN vs meizhou hakka;1.22;22/11/2025 04:30;'5-1;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.8277976190476193;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 7 jogos (Odds: 1.22) [BONUS +15%] Previsao: MANTERA STREAK
Super League;Shandong Taishan have had BTTS in their last 6 league matches;SHANDONG TAISHAN vs wuhan three towns;1.44;22/11/2025 04:30;'1-5;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.8448884965541473;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 6 jogos (Odds: 1.44) [BONUS +15%] Previsao: MANTERA STREAK
Super League;Shanghai Port have had BTTS in their last 10 away league matches;SHANGHAI PORT vs dalian yingbo;1.62;22/11/2025 04:30;'0-1;FALSO;BTTS;MEDIA_CONFIABILIDADE;0.9092191998727428;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 10 jogos (Odds: 1.62) [BONUS +15%] Previsao: MANTERA STREAK
Super League;Shanghai Port have had Over 2.5 Match Goals in their last 10 away league matches;SHANGHAI PORT vs dalian yingbo;1.4;22/11/2025 04:30;'0-1;FALSO;OVER_2.5;MEDIA_CONFIABILIDADE;0.8837365003417635;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 10 jogos (Odds: 1.4) [BONUS +15%] Previsao: MANTERA STREAK
Super League;Shanghai Port have had Over 2.5 Match Goals in their last 7 league matches;SHANGHAI PORT vs dalian yingbo;1.4;22/11/2025 04:30;'0-1;FALSO;OVER_2.5;MEDIA_CONFIABILIDADE;0.6798915218367718;VERDADEIRO;FALSO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: OVER_2.5 em 7 jogos (Odds: 1.4) [BONUS +15%] Previsao: MANTERA STREAK
Super League;Yunnan Yukun have had BTTS in their last 6 away league matches;YUNNAN YUKUN vs henan songshan longmen;1.44;22/11/2025 04:30;'1-1;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.8448884965541473;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 6 jogos (Odds: 1.44) [BONUS +15%] Previsao: MANTERA STREAK
Super league;Neftchi have Won their last 6 home league matches;NEFTCHI vs qizilqum;;22/11/2025 08:15;'4-1;VERDADEIRO;VITORIA;MEDIA_CONFIABILIDADE;0.9211622405411478;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: VITORIA em 6 jogos (Odds: nan) [BONUS +15%] Previsao: MANTERA STREAK
Bundesliga 2;Hannover have had Over 2.5 Match Goals in their last 10 league matches;HANNOVER vs paderborn;1.62;22/11/2025 09:00;'0-2;FALSO;OVER_2.5;MEDIA_CONFIABILIDADE;0.6835894133482198;VERDADEIRO;FALSO;PADRAO_FORTE;BOA;PADRAO_FORTE: OVER_2.5 em 10 jogos (Odds: 1.62) [BONUS +15%] Previsao: MANTERA STREAK
First Division;Middelfart have Lost their last 6 league matches;MIDDELFART vs b 93;2.2;22/11/2025 09:00;'2-2;FALSO;DERROTA;MEDIA_CONFIABILIDADE;0.6680676046176044;VERDADEIRO;FALSO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: DERROTA em 6 jogos (Odds: 2.2) [BONUS +15%] Previsao: MANTERA STREAK
Bundesliga 2;Paderborn have Won their last 8 league matches;PADERBORN vs hannover;2.15;22/11/2025 09:00;'0-2;FALSO;VITORIA;MEDIA_CONFIABILIDADE;0.8759920634920634;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: VITORIA em 8 jogos (Odds: 2.15) [BONUS +15%] Previsao: MANTERA STREAK
Bundesliga 2;Preußen Münster have had BTTS in their last 6 home league matches;PREUSSEN MÜNSTER vs schalke 04;1.8;22/11/2025 09:00;'0-0;FALSO;BTTS;MEDIA_CONFIABILIDADE;0.810171345729;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 6 jogos (Odds: 1.8) [BONUS +15%] Previsao: MANTERA STREAK
National League;Aldershot have Lost their last 6 league matches;ALDERSHOT vs woking;2.55;22/11/2025 09:30;'1-2;VERDADEIRO;DERROTA;MEDIA_CONFIABILIDADE;0.5627063492063491;FALSO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: DERROTA em 6 jogos (Odds: 2.55) [BONUS +15%] Previsao: INTERROMPERA STREAK
Championship;Southampton have had BTTS in their last 8 away league matches;SOUTHAMPTON vs charlton;1.83;22/11/2025 09:30;'1-5;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.9278674040350005;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 8 jogos (Odds: 1.83) [BONUS +15%] Previsao: MANTERA STREAK
First Division;Aalborg BK have had BTTS in their last 6 league matches;AALBORG BK vs kolding if;1.67;22/11/2025 10:00;'0-3;FALSO;BTTS;MEDIA_CONFIABILIDADE;0.8063436094616101;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 6 jogos (Odds: 1.67) [BONUS +15%] Previsao: MANTERA STREAK
First Division;Aalborg BK have had Over 2.5 Match Goals in their last 10 league matches;AALBORG BK vs kolding if;1.75;22/11/2025 10:00;'0-3;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.8119381760719825;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 10 jogos (Odds: 1.75) [BONUS +15%] Previsao: MANTERA STREAK
La Liga;Celta have had BTTS in their last 11 league matches;CELTA vs alaves;1.95;22/11/2025 10:00;'0-1;FALSO;BTTS;MEDIA_CONFIABILIDADE;0.8709296536796535;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 11 jogos (Odds: 1.95) [BONUS +15%] Previsao: MANTERA STREAK
3. Liga;Hansa Rostock have had Over 2.5 Match Goals in their last 6 league matches;HANSA ROSTOCK vs schweinfurt;1.44;22/11/2025 10:00;'2-0;FALSO;OVER_2.5;MEDIA_CONFIABILIDADE;0.9268212053145176;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.44) [BONUS +15%] Previsao: MANTERA STREAK
Tunisia Primera Division;Kairouan have had Over 2.5 Match Goals in their last 6 home league matches;KAIROUAN vs es métlaoui;;22/11/2025 10:00;'0-1;FALSO;OVER_2.5;MEDIA_CONFIABILIDADE;0.95;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: nan) [BONUS +15%] Previsao: MANTERA STREAK
Norwegian Eliteserien;Rosenborg have had Over 2.5 Match Goals in their last 7 away league matches;ROSENBORG vs tromsø;1.67;22/11/2025 10:00;'1-0;FALSO;OVER_2.5;MEDIA_CONFIABILIDADE;0.487908284721415;FALSO;VERDADEIRO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 7 jogos (Odds: 1.67) [BONUS +15%] Previsao: INTERROMPERA STREAK
3. Liga;Schweinurt have had Over 2.5 Match Goals in their last 10 league matches;SCHWEINURT vs hansa rostock;1.44;22/11/2025 10:00;'2-0;FALSO;OVER_2.5;MEDIA_CONFIABILIDADE;0.850819833675097;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 10 jogos (Odds: 1.44) [BONUS +15%] Previsao: MANTERA STREAK
3. Liga;Schweinurt have had Over 2.5 Match Goals in their last 6 away league matches;SCHWEINURT vs hansa rostock;1.44;22/11/2025 10:00;'2-0;FALSO;OVER_2.5;MEDIA_CONFIABILIDADE;0.9268212053145176;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.44) [BONUS +15%] Previsao: MANTERA STREAK
3. Liga;Ulm have had Over 2.5 Match Goals in their last 6 league matches;ULM vs havelse;1.57;22/11/2025 10:00;'2-1;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.9027895624848494;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.57) [BONUS +15%] Previsao: MANTERA STREAK
Premier League;Dynamo Kyiv have had BTTS in their last 6 away league matches;DYNAMO KYIV vs kolos kovalivka;2.2;22/11/2025 10:30;'2-1;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.8119071838120598;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 6 jogos (Odds: 2.2) [BONUS +15%] Previsao: MANTERA STREAK
Tweede Divisie;Rijnsburgse Boys have had BTTS in their last 6 league matches;RIJNSBURGSE BOYS vs spakenburg;;22/11/2025 10:30;'1-2;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.95;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 6 jogos (Odds: nan) [BONUS +15%] Previsao: MANTERA STREAK
Tweede Divisie;Rijnsburgse Boys have had Over 2.5 Match Goals in their last 6 home league matches;RIJNSBURGSE BOYS vs spakenburg;;22/11/2025 10:30;'1-2;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.95;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: nan) [BONUS +15%] Previsao: MANTERA STREAK
Saudi Pro League;Al Najma have Lost their last 8 league matches;AL NAJMA vs damac fc;1.83;22/11/2025 10:40;'0-0;FALSO;DERROTA;MEDIA_CONFIABILIDADE;0.76978022875817;VERDADEIRO;FALSO;PADRAO_FORTE;EXCELENTE;PADRAO_FORTE: DERROTA em 8 jogos (Odds: 1.83) [BONUS +15%] Previsao: MANTERA STREAK
Saudi Pro League;Damac FC have had BTTS in their last 8 league matches;DAMAC FC vs al najma;1.91;22/11/2025 10:40;'0-0;FALSO;BTTS;MEDIA_CONFIABILIDADE;0.9187036109315522;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 8 jogos (Odds: 1.91) [BONUS +15%] Previsao: MANTERA STREAK
1. SNL;Aluminij have had BTTS in their last 8 league matches;ALUMINIJ vs koper;1.8;22/11/2025 11:00;'4-1;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.91783916180736;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 8 jogos (Odds: 1.8) [BONUS +15%] Previsao: MANTERA STREAK
1. HNL;Dinamo Zagreb have had Over 2.5 Match Goals in their last 6 home league matches;DINAMO ZAGREB vs varaždin;1.73;22/11/2025 11:00;'3-0;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.868086579378769;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.73) [BONUS +15%] Previsao: MANTERA STREAK
Swedish Allsvenskan;IFK Norrköping have Lost their last 6 league matches;IFK NORRKÖPING vs örgryte;;22/11/2025 11:00;'3-0;VERDADEIRO;DERROTA;MEDIA_CONFIABILIDADE;0.6502005830536434;VERDADEIRO;FALSO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: DERROTA em 6 jogos (Odds: nan) [BONUS +15%] Previsao: MANTERA STREAK
Bundesliga;FC Bayern München have had Over 2.5 Match Goals in their last 10 league matches;FC BAYERN MÜNCHEN vs freiburg;1.36;22/11/2025 11:30;'6-2;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.9297386363636364;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 10 jogos (Odds: 1.36) [BONUS +15%] Previsao: MANTERA STREAK
League One;Bradford have had BTTS in their last 6 away league matches;BRADFORD vs bolton;1.67;22/11/2025 12:00;'0-0;FALSO;BTTS;MEDIA_CONFIABILIDADE;0.8063436094616101;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 6 jogos (Odds: 1.67) [BONUS +15%] Previsao: MANTERA STREAK
